"GPA","Number_Of_Professional_Connections","Major","Graduation_Year","Height","Number_Of_Credits","Number_Of_Parking_Tickets","HP","GC","predEarnings"
2.78,24,"STEM",1985,67.18,121,1,1612.32,240185,9723.16045270098
2.39,41,"STEM",1979,66.48,122,0,2725.68,241438,9763.06902854821
2.7,22,"STEM",1973,71.47,120,0,1572.34,236760,9731.54114028816
2.05,40,"STEM",2012,68.85,122,0,2754,245464,9795.82155711963
3.33,9,"STEM",2006,64.88,120,0,583.92,240720,9669.57001188152
1.84,9,"STEM",2011,71.59,123,3,644.31,247353,9807.80079047618
2.61,34,"STEM",1999,67.76,123,0,2303.84,245877,9737.7796737863
1.91,6,"STEM",2004,67.11,121,2,402.66,242484,9805.04238333334
1.56,1,"STEM",1971,65.51,123,1,65.51,242433,9832.39306666667
2.43,0,"STEM",2006,66.14,121,1,0,242726,9755.61745571428
2.48,18,"STEM",2007,69.24,121,2,1246.32,242847,9753.16089761904
2.82,9,"STEM",2014,70.92,120,1,638.28,241680,9721.25956904764
3.01,13,"STEM",1992,67.76,122,0,880.88,243024,9703.23345378631
1.72,2,"STEM",1973,68.3,122,1,136.6,240706,9822.9312404762
3.02,16,"STEM",1964,67.94,120,2,1087.04,235680,9702.61223261905
1.91,6,"STEM",1979,65.83,121,0,394.98,239459,9808.18905711963
1.8,32,"STEM",2007,67.47,125,0,2159.04,250875,9819.477888072
2.74,15,"STEM",1996,67.37,122,0,1010.55,243512,9727.44455848016
2.96,27,"STEM",1980,68.37,122,4,1845.99,241560,9705.76137714287
2.02,8,"STEM",1972,66.78,121,1,534.24,238612,9794.76612976192
2.11,4,"STEM",2014,68.06,121,2,272.24,243694,9787.09948333334
2.98,2,"STEM",1974,67.85,128,0,135.7,252672,9707.69520337813
2.19,0,"STEM",1998,65.48,121,1,0,241758,9774.27701285715
2.44,33,"STEM",2015,66.59,125,1,2197.47,251875,9757.0455642857
2.53,36,"STEM",1978,66.08,124,1,2378.88,245272,9747.33655238097
2.42,1,"STEM",1994,67.4,121,0,67.4,241274,9758.87894509408
2.26,11,"STEM",1990,66.09,123,1,726.99,244770,9773.1483761905
2.95,14,"STEM",2014,64.59,121,0,904.26,243694,9707.50627347141
3.35,5,"STEM",2000,67.55,122,1,337.75,244000,9670.32076190476
2.26,6,"STEM",1990,72.44,121,1,434.64,240790,9769.54148809521
2.1,30,"STEM",1981,70.69,123,3,2120.7,243663,9788.69729
3.07,29,"STEM",2014,69.46,121,1,2014.34,243694,9696.99172142857
2.66,3,"STEM",1961,73.12,125,0,219.36,245125,9734.08571759581
1.57,57,"STEM",1992,65.15,123,0,3713.55,245016,9834.49327724949
3.02,14,"STEM",1991,71.02,123,0,994.28,244893,9698.04614283394
3.22,47,"STEM",1988,67.65,120,3,3179.55,238560,9685.19135238097
2.47,4,"STEM",2000,71.18,122,0,284.72,244000,9751.42352564964
1.92,29,"STEM",1967,67.38,121,1,1954.02,238007,9806.75640476192
2.27,19,"STEM",1983,71.47,121,1,1357.93,239943,9773.17731309521
2.11,4,"STEM",1963,67.03,123,2,268.12,241449,9785.22543095238
2.32,2,"STEM",1980,71.16,120,2,142.32,237600,9762.8688754762
4,5,"STEM",2011,63.47,123,1,317.35,247353,9647.19636666669
2.39,37,"STEM",2005,67.66,121,1,2503.42,242605,9762.06308333333
2.25,8,"STEM",1980,70.33,120,0,562.64,237600,9771.69598348867
2.57,33,"STEM",1973,67.43,121,3,2225.19,238733,9741.87413809525
2.4,4,"STEM",1964,65.53,121,0,262.12,237644,9764.60186902441
2.24,10,"STEM",1973,68.42,122,1,684.2,240706,9774.71861904763
2.77,40,"STEM",2006,66.6,120,0,2664,240720,9726.64994276588
2.37,3,"STEM",2012,69.48,121,0,208.44,243452,9765.28243517344
2.66,31,"STEM",1978,70.4,123,2,2182.4,243294,9737.74372857143
2.71,0,"STEM",1978,68.36,122,0,0,241316,9733.07170950057
2.17,8,"STEM",2007,70.54,122,1,564.32,244854,9778.80971666666
2.16,5,"STEM",1964,67.68,120,1,338.4,235680,9782.97764486394
2.62,3,"STEM",2015,67.07,121,0,201.21,243815,9739.74880719728
2.57,4,"STEM",1979,66.19,121,0,264.76,239459,9746.16222854823
2.78,17,"STEM",1962,67.79,122,1,1152.43,239364,9724.16711666665
3.27,9,"STEM",1996,67.62,120,4,608.58,239520,9679.9733809524
2.66,43,"STEM",2015,65.87,127,1,2832.41,255905,9726.08787380955
2.23,2,"STEM",2007,69.23,120,2,138.46,240840,9776.09245000001
2.26,12,"STEM",1994,65.99,123,0,791.88,245262,9772.70730950059
2.3,0,"STEM",2013,71.52,120,0,0,241560,9769.68886136392
1.85,35,"STEM",1971,67.63,120,0,2367.05,236520,9807.64952395636
1.25,3,"STEM",1979,71.21,120,1,213.63,237480,9873.96844999998
2.35,37,"STEM",1988,68.65,121,2,2540.05,240548,9763.5363329932
2.89,9,"STEM",2001,65.63,122,0,590.67,244122,9715.44836231631
2.35,8,"STEM",2011,69.54,124,2,556.32,249364,9764.89789285714
2.52,1,"STEM",1968,64.49,122,3,64.49,240096,9748.3279142857
2.36,1,"STEM",1986,68.28,125,2,68.28,248250,9762.34238571429
2.56,4,"STEM",1966,68.87,122,2,275.48,239852,9745.93173581632
2.69,4,"STEM",2002,68.49,120,1,273.96,240240,9730.8666139482
3.12,68,"STEM",1974,64.5,120,2,4386,236880,9697.3786872587
1.88,42,"STEM",1969,67.67,122,1,2842.14,240218,9807.74721666668
2.19,36,"STEM",1965,68.64,121,0,2471.04,237765,9781.06179691551
2.73,12,"STEM",1991,69.97,123,4,839.64,244893,9726.50291190477
2.61,22,"STEM",1969,66.1,121,3,1454.2,238249,9742.00375714285
2.66,71,"STEM",1998,68.49,122,0,4862.79,243756,9739.43476426247
2.75,9,"STEM",1963,68.57,121,0,617.13,237523,9727.70785291581
2.86,1,"STEM",1970,66.23,121,1,66.23,238370,9717.54595471561
2.22,11,"STEM",1979,70.05,124,0,770.55,245396,9775.57270950058
2.57,56,"STEM",1961,67.46,121,0,3777.76,237281,9742.9996190244
2.58,7,"STEM",1980,71.92,120,4,503.44,237600,9736.74333023811
2.18,5,"STEM",1984,66.65,124,1,333.25,246016,9777.69072380953
2.38,45,"STEM",2014,69.58,125,0,3131.1,251750,9759.40860140535
3.07,35,"STEM",1997,68,120,0,2380,239640,9695.68063890212
2.38,51,"STEM",1987,69.67,122,1,3553.17,242414,9764.44686428573
1.81,30,"STEM",1988,72.23,124,0,2166.9,246512,9814.63109521485
2.76,2,"STEM",2014,70.88,120,1,141.76,241680,9726.35511904762
2.82,22,"STEM",2005,68.97,122,0,1517.34,244610,9716.07830473867
3.09,17,"STEM",2013,68.19,125,1,1159.23,251625,9698.65611095239
1.82,20,"STEM",2000,67.04,122,0,1340.8,244000,9816.99483092914
2.23,33,"STEM",1964,68.96,124,1,2275.68,243536,9777.45235952382
2.09,28,"STEM",1982,71.63,122,1,2005.64,241804,9792.70891142856
2.99,9,"STEM",1964,66.94,123,0,602.46,241572,9707.50111283392
2.99,53,"STEM",1976,67.68,123,0,3587.04,243048,9706.17035473867
2.14,10,"STEM",1963,72.76,128,0,727.6,251264,9784.98432378629
3.42,36,"STEM",2003,67.22,121,0,2419.92,242363,9669.59840735773
2.66,1,"STEM",1998,65.32,121,1,65.32,241758,9737.15593571432
1.98,8,"STEM",1974,64.49,121,2,515.92,238854,9794.04973095241
1.84,5,"STEM",2010,66.09,120,1,330.45,241200,9809.69821666666
3.06,5,"STEM",1985,67.8,121,0,339,240185,9698.97552664343
2.28,3,"STEM",1991,67.89,125,4,203.67,248875,9768.97108095239
1.68,17,"STEM",2001,66.08,121,0,1123.36,242121,9822.69064997676
2,2,"STEM",1994,66.46,122,1,132.92,243268,9794.54036309523
2.54,33,"STEM",1994,68.89,123,0,2273.37,245262,9744.87261664345
2.5,2,"STEM",2003,70.52,125,1,141.04,250375,9749.10675952382
2.65,38,"STEM",1961,67.21,122,1,2553.98,239242,9734.16341904762
2.9,5,"STEM",1968,66.17,124,1,330.85,244032,9712.51205741757
2.53,16,"STEM",1972,69.34,127,3,1109.44,250444,9750.15992857143
2.29,15,"STEM",1988,66.13,122,4,991.95,242536,9769.24805238095
2.4,24,"STEM",1972,70.31,122,3,1687.44,240584,9755.33819047618
2.46,70,"STEM",1961,67.21,124,0,4704.7,243164,9754.02817378629
2.98,43,"STEM",1977,70.04,121,3,3011.72,239217,9705.91460706607
1.02,56,"STEM",1973,68,120,0,3808,236760,9872.56820952382
2.21,106,"STEM",1972,68.93,120,1,7306.58,236640,9811.96752261905
2.96,4,"STEM",1998,67.45,121,0,269.8,241758,9704.73236985857
2.71,7,"STEM",1988,68.51,120,0,479.57,238560,9729.09957034526
1.84,1,"STEM",1982,65.5,120,0,65.5,237840,9813.46083015532
1.61,41,"STEM",1991,67.96,127,0,2786.36,252857,9830.51996902439
2.19,31,"STEM",1983,67.43,124,2,2090.33,245892,9781.37943809525
2.54,16,"STEM",1974,66.14,123,2,1058.24,242802,9746.62414126985
2.06,24,"STEM",1994,70.25,122,1,1686,243268,9796.07309761905
2.34,14,"STEM",1982,66.99,123,0,937.86,243786,9766.82913331009
3.13,3,"STEM",1991,70.09,127,0,210.27,252857,9698.89425898295
2.51,11,"STEM",2011,67.32,121,3,740.52,243331,9749.21268333335
3.35,6,"STEM",1966,67.58,120,0,405.48,235920,9674.68010077041
2.7,49,"STEM",2010,67.56,123,0,3310.44,247230,9730.45199045296
2.72,26,"STEM",2006,68.93,124,1,1792.18,248744,9728.83975380952
2.31,22,"STEM",1982,69.08,121,1,1519.76,239822,9766.55369642856
2.51,12,"STEM",1982,67.17,127,1,806.04,251714,9748.80712619049
2.17,22,"STEM",1993,66.38,123,0,1460.36,245139,9780.1423142625
2.62,11,"STEM",1977,69.21,121,2,761.31,239217,9738.536074359
2.76,2,"STEM",1998,69.58,121,1,139.16,241758,9727.53911249954
2.08,41,"STEM",1966,69.64,122,2,2855.24,239852,9789.78295666667
3.47,17,"STEM",1991,68.03,121,1,1156.51,240911,9660.07267761905
2.29,2,"STEM",1980,65.56,122,0,131.12,241560,9768.20354521488
2.21,35,"STEM",1975,69.32,121,0,2426.2,238975,9779.31723235771
2.78,1,"STEM",1999,70.55,120,0,70.55,239880,9726.32330813266
1.89,9,"STEM",1983,68.1,122,1,612.9,241926,9812.35892142858
1.77,5,"STEM",2013,69.07,120,1,345.35,241560,9815.62315523809
2.2,25,"STEM",1979,69.85,124,0,1746.25,245396,9777.30114997677
2.5,18,"STEM",2000,69.69,121,1,1254.42,242000,9748.44826380953
2.65,27,"STEM",1985,64.3,124,0,1736.1,246140,9737.04421569105
1.94,28,"STEM",1963,69.85,122,0,1955.8,239486,9802.12861902438
2.13,8,"STEM",1982,64.23,120,1,513.84,237840,9783.78368333334
2.84,39,"STEM",1998,70.82,123,0,2761.98,245754,9717.22804997677
2.79,5,"STEM",1970,69.55,122,0,347.75,240340,9721.62715473866
3,2,"STEM",2006,69,120,1,138,240720,9704.32982619049
2.35,2,"STEM",1980,70.54,128,0,141.08,253440,9764.50531426249
2.19,24,"STEM",2008,67.4,121,3,1617.6,242968,9780.11793928571
2.72,44,"STEM",1961,68.92,121,1,3032.48,237281,9729.74136420889
2.36,29,"STEM",1971,63.68,120,2,1846.72,236520,9761.80657142857
1.88,3,"STEM",1993,69.46,124,0,208.38,247132,9807.8636923163
1.8,23,"STEM",1982,67.47,120,0,1551.81,237840,9818.39701103969
2.33,6,"STEM",2008,68.42,123,1,410.52,246984,9763.33808095238
2.28,42,"STEM",2007,71.28,122,1,2993.76,244854,9776.45297142858
2.65,5,"STEM",1962,70.43,124,1,352.15,243288,9732.48211999998
2.48,2,"STEM",2006,66.72,123,1,133.44,246738,9748.55562619048
2.89,55,"STEM",1993,65.68,123,0,3612.4,245139,9714.72547235772
1.79,3,"STEM",1990,66.83,124,1,200.49,246760,9815.00383095234
1.43,35,"STEM",2014,68.94,121,1,2412.9,243694,9846.98051428571
1.68,7,"STEM",2007,68.83,122,1,481.81,244854,9822.56193679652
2.8,11,"STEM",2005,66.32,120,1,729.52,240600,9720.90985396825
1.75,3,"STEM",1993,67.46,122,1,202.38,243146,9819.77793333331
2.7,1,"STEM",1971,67.84,121,0,67.84,238491,9732.09830005002
2.32,20,"STEM",1970,65.11,122,0,1302.2,240340,9767.80176664344
2.58,4,"STEM",1982,69.19,121,0,276.76,239822,9742.33873997678
2.73,9,"STEM",1994,65.64,121,0,590.76,241274,9733.86446380814
2.74,31,"STEM",1961,68,122,0,2108,239242,9726.50190616721
2.18,26,"STEM",1977,66.96,121,1,1740.96,239217,9783.00837380953
2.73,1,"STEM",1981,68.58,121,0,68.58,239701,9729.19627577299
2.63,23,"STEM",1968,66.06,120,1,1519.38,236160,9738.59291245423
2.66,50,"STEM",2011,65.56,121,1,3278,243331,9731.68443333334
1.99,30,"STEM",1988,71.01,125,0,2130.3,248500,9798.25762378628
3.19,1,"STEM",1983,66.74,121,0,66.74,239943,9686.78711950058
3.17,16,"STEM",2015,71.56,122,1,1144.96,245830,9692.75798214286
2.84,29,"STEM",2004,65.2,122,0,1890.8,244488,9718.7274818815
3.19,19,"STEM",1964,69.83,123,1,1326.77,241572,9689.86022619048
2.28,0,"STEM",1975,67.08,122,1,0,240950,9770.66535476191
2.59,64,"STEM",2007,64.58,127,0,4133.12,254889,9740.40715473868
2.92,7,"STEM",1996,68.58,122,1,480.06,243512,9715.33430146517
2.05,0,"STEM",1995,67.62,122,1,0,243390,9788.1648452381
3.31,1,"STEM",1998,66.53,121,0,66.53,241758,9678.16645950058
2.52,23,"STEM",1981,66.03,121,3,1518.69,239701,9751.14488333335
2.62,4,"STEM",1971,69.95,121,4,279.8,238491,9736.23335714288
2.39,10,"STEM",1992,69.9,121,1,699,241032,9760.05788571427
1.54,6,"STEM",1986,64.61,120,0,387.66,238320,9837.43124283391
1.97,38,"STEM",1970,67.13,120,2,2550.94,236400,9792.09076190477
3.08,15,"STEM",1990,66.82,129,7,1002.3,256710,9712.5750857143
3.1,21,"STEM",1975,67.57,120,2,1418.97,237000,9691.24771035393
2.14,2,"STEM",2004,68.19,120,0,136.38,240480,9780.753113983
2.16,1,"STEM",1987,71.13,120,2,71.13,238440,9779.90002071428
2.5,12,"STEM",1984,65.73,123,1,788.76,244032,9748.37061333334
1.72,0,"STEM",1989,70.05,121,0,0,240669,9818.24257616725
2.39,8,"STEM",1992,69.07,120,0,552.56,239040,9759.50104570065
2.28,25,"STEM",2001,69.48,120,1,1737,240120,9772.43288119046
1.83,16,"STEM",2004,67.09,122,1,1073.44,244488,9812.83612142856
2.59,34,"STEM",1993,71.26,120,1,2422.84,239160,9738.96379452383
3.49,29,"STEM",1988,66.71,124,4,1934.59,246512,9662.4058952381
3.63,38,"STEM",1998,68.51,121,3,2603.38,241758,9655.34163333332
3.04,5,"STEM",1962,68.05,121,1,340.25,237402,9704.90239438776
2.06,52,"STEM",2010,64.92,121,0,3375.84,243210,9793.69301140535
2.23,5,"STEM",1971,69.41,122,1,347.05,240462,9772.67417619047
2.46,7,"STEM",1990,65.87,122,2,461.09,242780,9755.1005142857
2.75,34,"STEM",1985,64.79,124,0,2202.86,246140,9727.18076092915
2.36,12,"STEM",2004,64.75,121,0,777,242484,9763.78613331008
2.17,6,"STEM",2005,68.85,121,4,413.1,242605,9780.24950952381
3.24,26,"STEM",2014,68.26,122,0,1774.76,245708,9684.07274283392
2.25,56,"STEM",1968,69.59,125,2,3897.04,246000,9780.93368380954
3.12,21,"STEM",1980,67.06,124,0,1408.26,245520,9690.45250711961
2.01,2,"STEM",1987,67.64,121,0,135.28,240427,9798.03348450056
2.59,20,"STEM",2005,64.79,122,1,1295.8,244610,9741.83253809525
3.38,26,"STEM",1982,69.89,121,1,1817.14,239822,9669.8808395238
3.8,41,"STEM",1966,66.72,123,1,2735.52,241818,9635.8581595238
1.74,13,"STEM",1991,68.79,121,1,894.27,240911,9820.78953571428
2.97,9,"STEM",1981,68.67,123,3,618.03,243663,9709.04214714287
3.09,2,"STEM",1988,68.19,124,1,136.38,246512,9695.71136904763
2.17,9,"STEM",1961,68.44,121,1,615.96,237281,9784.34978095238
2.21,13,"STEM",1977,68.7,124,1,893.1,245148,9777.60301666668
3.34,9,"STEM",2008,66.62,123,1,599.58,246984,9669.25269904761
2.42,15,"STEM",1998,68.47,120,0,1027.05,239760,9756.51103907539
2.6,3,"STEM",1969,66.49,121,2,199.47,238249,9742.87815293043
3.23,12,"STEM",1999,69.29,127,0,831.48,253873,9689.19823807201
2.71,13,"STEM",2015,66.93,122,1,870.09,245830,9734.61014333333
3.51,20,"STEM",1985,70.24,120,0,1404.8,238200,9659.14902460316
1.56,18,"STEM",1964,65.4,120,1,1177.2,235680,9829.79308142859
2.25,34,"STEM",1999,65.57,121,1,2229.38,241879,9771.56172857143
2.44,0,"STEM",1961,69.52,120,0,0,235320,9752.09842616724
3.37,1,"STEM",1989,63.57,120,1,63.57,238680,9676.52541174603
2.37,26,"STEM",1976,69.3,121,1,1801.8,239096,9761.1193095238
2.33,26,"STEM",1976,64.01,121,0,1664.26,239096,9766.869788072
2.48,20,"STEM",1969,68.43,121,1,1368.6,238249,9748.58324884875
2.41,25,"STEM",1996,71.14,121,0,1778.5,241516,9756.15302944106
2.07,12,"STEM",2014,66.66,121,2,799.92,243694,9792.72538214287
2.04,4,"STEM",1993,70.86,122,3,283.44,243146,9793.23457619047
2.26,41,"STEM",2013,68.8,121,0,2820.8,243573,9776.06316950058
2.4,10,"STEM",1979,65.29,120,3,652.9,237480,9759.38519285713
2.41,23,"STEM",2001,68.27,124,1,1570.21,248124,9758.51671190476
2.41,9,"STEM",1999,67.24,124,0,605.16,247876,9757.4027077925
3.17,13,"STEM",2014,68.32,123,1,888.16,247722,9690.70346428572
2.35,13,"STEM",1970,68.55,121,1,891.15,238370,9765.74394999996
2.52,19,"STEM",1989,64.83,120,3,1231.77,238680,9749.50484940478
3.38,26,"STEM",1971,63.25,125,2,1644.5,246375,9676.98803571427
2.22,56,"STEM",1988,67.1,120,1,3757.6,238560,9777.71791190476
2.79,12,"STEM",1975,71.44,121,1,857.28,238975,9720.96303063139
2.2,14,"STEM",1962,70.46,124,0,986.44,243288,9774.75889997677
2.38,9,"STEM",2013,70.42,124,1,633.78,249612,9762.59857857143
2.36,11,"STEM",2007,68.08,120,0,748.88,240840,9765.24852689113
2.23,4,"STEM",2004,69.96,121,1,279.84,242484,9775.53867738094
1.53,13,"STEM",1964,69.09,122,1,898.17,239608,9834.87505476191
2.21,4,"STEM",1976,68.34,120,0,273.36,237120,9775.35734967916
2.65,7,"STEM",1977,65.94,122,1,461.58,241194,9738.35757857143
2.53,7,"STEM",1975,67.99,124,0,475.93,244900,9747.19253793597
2.06,16,"STEM",2011,65.97,123,0,1055.52,247353,9790.54610807202
2.59,32,"STEM",1976,67.38,121,0,2156.16,239096,9741.07061600242
2.78,7,"STEM",1984,68.89,121,0,482.23,240064,9723.1188448206
2.7,112,"STEM",2002,64.75,125,1,7252,250250,9752.76166666668
2.21,6,"STEM",1987,67.5,122,1,405,242414,9775.57714761903
2.06,29,"STEM",2000,68.14,123,0,1976.06,246000,9795.27420711965
2.52,7,"STEM",1995,64.96,122,1,454.72,243390,9749.12126571428
2.27,31,"STEM",1985,65.21,121,2,2021.51,240185,9772.69086632654
2.88,0,"STEM",1978,66.75,123,1,0,243294,9716.37518452379
1.98,153,"STEM",1999,69.42,122,0,10621.26,243878,9825.50861904765
1.54,3,"STEM",1968,67.18,122,1,201.54,240096,9835.99104761905
3.53,4,"STEM",2007,68.53,120,0,274.12,240840,9660.21023095238
3.2,17,"STEM",2004,67.26,122,1,1143.42,244488,9683.73925952381
2.81,21,"STEM",1985,68.7,122,1,1442.7,242170,9721.60712380954
1.76,3,"STEM",1976,66.91,125,3,200.73,247000,9811.61052380952
2.84,21,"STEM",2014,66.94,121,1,1405.74,243694,9720.41000746286
3.28,16,"STEM",1965,68.32,123,2,1093.12,241695,9680.39403809526
2.5,14,"STEM",2007,68.38,120,1,957.32,240840,9746.57142833336
2.89,38,"STEM",1961,66.22,126,0,2516.36,247086,9714.21488671146
2.77,8,"STEM",2012,67.02,124,5,536.16,249488,9724.56582619049
2.71,3,"STEM",1981,65.29,120,0,195.87,237720,9734.79608331011
3.35,12,"STEM",2003,67.56,121,2,810.72,242363,9670.82402380953
2.8,25,"STEM",2014,71.21,120,0,1780.25,241680,9722.21687497678
2.5,13,"STEM",2008,69.21,123,1,899.73,246984,9748.93053809524
2.43,44,"STEM",1995,68.97,121,1,3034.68,241395,9757.59149693878
2.5,24,"STEM",1973,68.65,122,4,1647.6,240706,9750.25913571427
2.46,51,"STEM",1961,69.47,125,0,3542.97,245125,9755.39319283391
2.39,90,"STEM",2004,68.78,120,0,6190.2,240480,9761.8702928339
2.78,0,"STEM",2000,68.88,124,0,0,248000,9724.64167786055
2.84,12,"STEM",1999,65.22,123,2,782.64,245877,9717.45451190476
2.91,13,"STEM",1965,69.13,120,1,898.69,235800,9706.55556357144
2.85,0,"STEM",1988,69.87,121,1,0,240548,9720.01976420892
3.22,34,"STEM",1987,70.48,121,0,2396.32,240427,9686.10457997675
2.09,28,"STEM",2008,67.24,121,0,1882.72,242968,9793.59754045296
2.12,150,"STEM",1975,69.24,121,0,10386,238975,9833.0883138889
2.18,40,"STEM",2002,67.95,120,0,2718,240240,9779.68064681351
2.4,20,"STEM",2007,69.8,129,2,1396,258903,9756.27093571428
2.94,62,"STEM",1976,64.99,121,1,4029.38,239096,9710.67565859667
2.93,13,"STEM",2015,69.71,121,1,906.23,243815,9712.24280742321
1.85,1,"STEM",2015,67.8,125,0,67.8,251875,9809.0861375544
2.85,5,"STEM",1968,67.81,123,1,339.05,242064,9717.48578241757
2.45,11,"STEM",2010,68.37,120,1,752.07,241200,9756.60490809524
2.37,18,"STEM",2003,65.89,121,2,1186.02,242363,9762.28544285714
2.02,27,"STEM",2007,66.31,121,1,1790.37,242847,9796.38924047619
3,62,"STEM",1979,67.74,122,2,4199.88,241438,9704.59179619049
1.91,10,"STEM",2001,68.07,120,3,680.7,240120,9803.45604154761
2.95,26,"STEM",2003,69.02,120,0,1794.52,240360,9704.33308021488
2.51,28,"STEM",1961,66.95,121,2,1874.6,237281,9747.27582585034
2.59,1,"STEM",1995,66.91,121,1,66.91,241395,9745.87814047622
3.39,35,"STEM",1974,72.16,122,1,2525.6,240828,9673.33310476189
2.45,19,"STEM",2010,68.73,120,0,1305.87,241200,9755.5608565754
3.2,4,"STEM",2008,64.14,124,2,256.56,248992,9688.2343952381
2.27,7,"STEM",1988,66.43,122,0,465.01,242536,9771.6381737863
2.8,75,"STEM",1968,67.05,124,2,5028.75,244032,9723.5193095238
3.05,84,"STEM",2007,67.68,121,0,5685.12,242847,9710.85359664343
2.91,6,"STEM",1990,65.03,124,0,390.18,246760,9711.34251759583
3.02,12,"STEM",2003,64.65,121,1,775.8,242363,9701.46714523812
1.44,16,"STEM",1980,68.32,122,2,1093.12,241560,9847.62329523809
2.65,36,"STEM",2008,66.55,121,0,2395.8,242968,9736.99485045296
2.74,15,"STEM",1992,67.38,121,1,1010.7,241032,9725.74263365337
2.08,8,"STEM",1978,66.77,120,1,534.16,237360,9789.98499795919
2.84,8,"STEM",2015,71.44,121,1,571.52,243815,9720.48503885176
2.34,11,"STEM",1997,69.1,121,1,760.1,241637,9763.72386904762
2.38,22,"STEM",1966,67.65,121,1,1488.3,237886,9764.59519047619
1.88,1,"STEM",1969,70.41,121,0,70.41,238249,9808.30482854818
3.1,6,"STEM",2013,69.08,122,2,414.48,245586,9694.10952142858
2.71,2,"STEM",1978,69.19,122,0,138.38,241316,9732.72783092915
2.45,11,"STEM",1969,68.54,122,1,753.94,240218,9753.7697208163
2.65,1,"STEM",1971,68.82,121,1,68.82,238491,9734.08707231816
2.02,11,"STEM",1997,67.58,123,0,743.38,245631,9798.16614636394
2.3,17,"STEM",1962,68.08,121,2,1157.36,237402,9771.53094761903
2.76,12,"STEM",1984,68.16,120,0,817.92,238080,9722.38388605631
1.93,27,"STEM",1995,67.22,123,0,1814.94,245385,9804.70786426249
1.38,4,"STEM",2006,69.7,121,0,278.8,242726,9849.26860473867
2.38,1,"STEM",2014,71.28,124,3,71.28,249736,9762.00928809524
2.35,71,"STEM",1977,69.17,123,1,4911.07,243171,9771.85903333334
2.93,21,"STEM",1974,68.03,129,2,1428.63,254646,9710.97426190478
2.07,10,"STEM",2011,72.36,121,0,723.6,243331,9798.06158993535
2.33,29,"STEM",2000,67.27,123,1,1950.83,246000,9764.53883452381
2.83,0,"STEM",1965,69.99,122,0,0,239730,9717.62910984071
1.89,34,"STEM",2005,67.54,121,0,2296.36,242605,9816.19077378632
2.7,2,"STEM",2006,68.21,121,1,136.42,242726,9730.05828717952
3.19,15,"STEM",1962,66.43,127,1,996.45,249174,9692.69350095238
